Timestamp,Channel,Arbitration ID,Data
1724736379.901,2,516,0004000000000066
1724736379.9011278,2,516,0010000000000078
1724736453.5398498,2,516,000400000000057e
1724736453.540305,2,201326625,0200007d00000030
1724736453.5403433,2,218042657,0000000000000574
1724736453.5430374,2,436200225,0000000000000000
1724736453.5433252,2,436200481,0000000000000000
1724736453.543623,2,436200737,0a28000000020c00
1724736453.5439095,2,436200993,00400b40060f0f00
1724736453.5442038,2,436201249,00400b40060f0a00
1724736453.544484,2,436201505,1406003c14000014
1724736453.5447707,2,436201761,0000000000269608
1724736453.54507,2,436202017,0000000000000000
1724736453.5453422,2,436202273,4709500908000400
1724736453.5456276,2,436202529,6202530000000000
1724736453.5459065,2,419426081,ed2d0000007d007d
1724736453.546196,2,436183585,000000002fbe0800
1724736453.5464795,2,436202785,2100260065008500
1724736453.5471263,2,419385273,0000000000000000
1724736453.5478609,2,217056256,40fa84501f00f384
1724736453.5498183,2,201326625,0200007d00000041
1724736453.5513537,2,417922816,01ffffffffdcfe00
1724736453.5517979,2,419424801,0000000000000000
1724736453.5520875,2,419425057,0000000000000000
1724736453.5557687,2,419389729,0004000000000000
1724736453.5560596,2,218062113,0000000000000000
1724736453.5571275,2,419385273,0000000000000000
1724736453.557859,2,217056256,40fa84501f00f384
1724736453.5581467,2,418385664,0000000000000000
1724736453.559796,2,201326625,0200007d00000052
1724736453.560079,2,436200225,0000000000000000
1724736453.5603728,2,436200481,0000000000000000
1724736453.5606587,2,436200737,0a28000000030c00
1724736453.560945,2,436200993,00400b40060f0e00
1724736453.5612304,2,436201249,00400b40060f0b00
1724736453.5615165,2,436201505,1406003c14000014
1724736453.5618029,2,436201761,0000000000269608
1724736453.5621011,2,419425569,0000000000000000
1724736453.562385,2,436183585,000000002fbe0800
1724736453.5626833,2,436202017,0000000000000000
1724736453.5629578,2,436202273,3b09500908000400
1724736453.5632443,2,436202529,6202530000000000
1724736453.5635238,2,436202785,21001e008b008a00
1724736453.5638175,2,419425313,0000000000000000
1724736453.5640981,2,419425825,7c7d7d227d7d0000
1724736453.567129,2,419385273,0000000000000000
1724736453.567907,2,217056256,50fa84481f00f384
1724736453.5682077,2,418385664,0820ffffffffffff
1724736453.5684927,2,217056000,d1000fffffff7dff
1724736453.569812,2,201326625,0200007d00000063
1724736453.5771286,2,419385273,0000000000000000
1724736453.577862,2,217056256,50fa84481f00f384
1724736453.5781572,2,418385664,0000000000000000
1724736453.579793,2,201326625,0200007d00000004
1724736453.580085,2,436200225,0000000000000000
1724736453.5803773,2,436200481,0000000000000000
1724736453.580663,2,436200737,0a28000000030c00
1724736453.5809562,2,436200993,00400b40060f0f00
1724736453.5812433,2,436201249,00400b40060f0c00
1724736453.5815296,2,436201505,1406003c14000014
1724736453.581818,2,436201761,0000000000269608
1724736453.5821047,2,418382113,0000000000000000
1724736453.582394,2,436183585,000000002fbe0800
1724736453.582668,2,419409972,4a8a008c39270723
1724736453.5829601,2,436202017,0000000000000000
1724736453.5832403,2,436202273,4409440908000300
1724736453.583523,2,436202529,6202530000000000
1724736453.5838072,2,436202785,25001e0067006c00
1724736453.5840974,2,218059553,1000000000000000
1724736453.5843904,2,419382817,0000000000000000
1724736453.5846777,2,419384097,0903000000000000
1724736453.5858154,2,419395146,0000000000000000
1724736453.5871294,2,419385273,0000000000000000
1724736453.5878499,2,217056256,50fa84481f00f384
1724736453.588133,2,419356416,7d2c01077d610305
1724736453.5898125,2,218042657,0000000000000505
1724736453.5901,2,201326625,0200007d00000015
1724736453.591773,2,419354913,0004000000000000
1724736453.5929601,2,218059942,0000000000000000
1724736453.597135,2,419385273,0000000000000000
1724736453.5978541,2,217056256,60fa84441f00f384
1724736453.5981631,2,418385664,0000000000000000
1724736453.5998094,2,201326625,0200007d00000026
1724736453.6000776,2,436200225,0000000000000000
1724736453.600377,2,436200481,0000000000000000
1724736453.600661,2,436200737,0a28000000030c00
1724736453.6009493,2,436200993,00400b40060f0f00
1724736453.6012368,2,436201249,00400b40060f0c00
1724736453.6015234,2,436201505,1406003c14000014
1724736453.601809,2,436201761,0000000000269608
1724736453.6021001,2,436183585,000000002fbe0800
1724736453.602392,2,436202017,0000000000000000
1724736453.602673,2,436202273,4209500908000400
1724736453.6029558,2,436202529,6202530000000000
1724736453.603236,2,436202785,1e00210061004100
1724736453.603519,2,486444065,53008b1100000000
1724736453.603813,2,419365409,0000000000000000
1724736453.60411,2,419375137,0000000001000000
1724736453.6071272,2,419385273,0000000000000000
1724736453.6074352,2,419390119,0101010303020300
1724736453.6078014,2,419381537,0000000000000000
1724736453.6080632,2,217056256,60fa84401f00f384
1724736453.6098185,2,201326625,0200007d00000037
1724736453.6117895,2,419381281,0000000001000000
1724736453.6146173,2,419396170,05000000000000
1724736453.615766,2,419426593,cbbd7c0000000000
1724736453.617078,2,218059856,0000000000000000
1724736453.6173723,2,419385273,0000000000000000
1724736453.617671,2,419388496,0000000000000000
1724736453.617952,2,217056256,60fa84401f00f384
1724736453.6182427,2,218059961,0000000000000000
1724736453.6185405,2,418385664,0000000000000000
1724736453.6188304,2,218062009,0000000000000000
1724736453.619128,2,418385664,0820ffffffffffff
1724736453.6194134,2,217056000,d1000fffffff7dff
1724736453.6197042,2,419373312,00c000c0cc00002c
1724736453.6199915,2,201326625,0200007d00000030
1724736453.6202796,2,419391911,0104010100000000
1724736453.6205716,2,436200225,0000000000000000
1724736453.6208658,2,436200481,0000000000000000
1724736453.621158,2,436200737,0a28000000041000
1724736453.6214402,2,436200993,00400b40060f0e00
1724736453.6217265,2,436201249,00400b40060f0b00
1724736453.6220164,2,436183585,000000002fbe0800
1724736453.6223035,2,436201505,1406003c14000014
1724736453.622591,2,436201761,0000000000259208
1724736453.6228828,2,436202017,0000000000000000
1724736453.6231725,2,419385510,8d00000000000000
1724736453.6234531,2,436202273,3e094f0908000400
1724736453.6237376,2,436202529,6202530000000000
1724736453.6240344,2,419381793,0000000000000000
1724736453.6243184,2,419382049,0100400080220000
1724736453.6245978,2,436202785,23002f00a1007200
1724736453.627126,2,419385273,0000000000000000
1724736453.6279266,2,217056256,60fa84441f00f384
1724736453.6282198,2,419361280,380000000000ffff
1724736453.629819,2,201326625,0200007d00000041
1724736453.6314127,2,419405864,0201000000000000
1724736453.6318004,2,218061089,0000000000000000
1724736453.6320884,2,218060321,0000000000000000
1724736453.6323764,2,419382305,1e1e001000000000
1724736453.632661,2,419382561,322c576000000000
